Index,Manufacturer Name,Description,Manufacturer Part Number,Digi-Key Part Number,Quantity
1,Traco Power,DC DC CONVERTER 5V 5W,TSR 1-2450,1951-2747-ND,1
2,Microchip Technology,IC TRANSCEIVER HALF 1/1 8PDIP,MCP2561-H/P,MCP2561-H/P-ND,1
3,Microchip Technology,IC MCU 8BIT 32KB FLASH 28DIP,ATMEGA328-PU,ATMEGA328-PU-ND,1
4,Microchip Technology,IC CAN CONTROLLER W/SPI 18DIP,MCP2515-I/P,MCP2515-I/P-ND,1
5,STMicroelectronics,DIODE SCHOTTKY 30V 1A DO41,1N5818,497-4548-1-ND,1
6,Rubycon,CAP ALUM 1000UF 20% 16V RADIAL,16ZLH1000MEFC10X16,1189-1147-ND,1
7,Würth Elektronik,CONN HEADER VERT 6POS 2.54MM,61200621621,732-5394-ND,1
8,TE Connectivity AMP Connectors,CONN IC DIP SOCKET 8POS TIN,1-2199298-2,A120347-ND,1
9,TE Connectivity AMP Connectors,CONN IC DIP SOCKET 28POS TIN,1-2199298-9,A120353-ND,1
10,Raltron Electronics,CRYSTAL 16.0000MHZ 18PF TH,AS-16.000-18,2151-AS-16.000-18-ND,1
11,WAGO Corporation,PCB TERMINAL BLOCK; LEVER; 4 MM;,2604-1103,2946-2604-1103-ND,3
12,WAGO Corporation,PCB TERMINAL BLOCK; LEVER; 4 MM;,2604-1104,2946-2604-1104-ND,1
13,CNC Tech,CONN IC DIP SOCKET 18POS TIN,245-18-1-03,1175-1489-ND,1
14,Vishay Beyschlag/Draloric/BC Components,CAP CER 0.1UF 50V X7R RADIAL,K104K10X7RF5UH5,BC2665CT-ND,4
15,Vishay Beyschlag/Draloric/BC Components,CAP CER 1UF 50V X7R RADIAL,K105K20X7RF5UH5,BC2668CT-ND,2
16,Vishay Beyschlag/Draloric/BC Components,CAP CER 22PF 50V C0G/NP0 RADIAL,K220J10C0GF5UH5,BC5230CT-ND,4
17,Citizen Finedevice Co Ltd,CRYSTAL 8.0000MHZ 18PF TH,HC-49/U-S8000000ABJB,300-6017-ND,1
18,Same Sky (Formerly CUI Devices),SWITCH TACTILE SPST-NO 0.05A 12V,TS02-66-55-BK-100-LCR-D,2223-TS02-66-55-BK-100-LCR-D-ND,1
19,Stackpole Electronics Inc,RES 1K OHM 5% 1/4W AXIAL,CF14JT1K00,CF14JT1K00CT-ND,1
20,Stackpole Electronics Inc,RES 10K OHM 5% 1/4W AXIAL,CF14JT10K0,CF14JT10K0CT-ND,1
21,Stackpole Electronics Inc,RES 560 OHM 5% 1/4W AXIAL,CF14JT560R,CF14JT560RCT-ND,2
22,Würth Elektronik,LED BLUE DIFFUSED 5MM ROUND T/H,151051BS04000,732-5015-ND,1
23,Würth Elektronik,LED GREEN DIFFUSED 5MM ROUND T/H,151051VS04000,732-5017-ND,1
24,Bourns Inc.,FIXED IND 5.6UH 500MA 400MOHM TH,78F5R6J-RC,78F5R6J-RC-ND,1
25,Stackpole Electronics Inc,RES 120 OHM 5% 1/4W AXIAL,CF14JT120R,CF14JT120RCT-ND,1
26,Harwin Inc.,CONN HEADER VERT 2POS 2.54MM,M20-9990246,952-2262-ND,1
27,Sullins Connector Solutions,"CONN JUMPER SHORTING .100"" GOLD",QPC02SXGN-RC,S9337-ND,1